feature,semantic_type,dtype,missing_pct_actual,n_unique_actual,target_rate_when_missing,target_rate_when_present,analysis_method,top_values
modification_flag,categorical,category,0.413367605412045,2,,0.0024310409700240678,categorical_or_date_association,N: 13840325; <NA>: 57523; Y: 17853
zero_balance_code,possible_leakage_or_post_event,category,99.58598564312355,7,0.0024310409700240678,,leakage_review,<NA>: 13858088; 01: 57133; 06: 345; 02: 46; 09: 39
zero_balance_effective_date,possible_leakage_or_post_event,datetime64[ns],99.58598564312355,59,0.0024310409700240678,,leakage_review,<NA>: 13858088; 2021-12-01: 2177; 2021-10-01: 2115; 2021-11-01: 2073; 2021-09-01: 1875
upb_at_time_of_removal,possible_leakage_or_post_event,float32,99.58598564312355,51212,0.0024310409700240678,,leakage_review,<NA>: 13858088; 199000.0: 39; 174000.0: 33; 149000.0: 32; 544000.0: 30
repurchase_date,possible_leakage_or_post_event,datetime64[ns],100.0,0,0.0024310409700240678,,leakage_review,<NA>: 13915701
scheduled_principal_current,low_cardinality_numeric,float32,100.0,0,0.0024310409700240678,,numeric_association,<NA>: 13915701
total_principal_current,numeric,float32,1.961740914094087,502786,0.001688706546027327,0.0024462352712096343,numeric_association,0.0: 697868; <NA>: 272990; 1000.0: 3826; 500.0: 1983; 2000.0: 1600
unscheduled_principal_current,low_cardinality_numeric,float32,100.0,0,0.0024310409700240678,,numeric_association,<NA>: 13915701
last_paid_installment_date,date_or_time,datetime64[ns],99.99920952598794,40,0.0024310409700240678,,categorical_or_date_association,<NA>: 13915591; 2024-05-01: 9; 2023-11-01: 7; 2022-08-01: 5; 2023-01-01: 5
foreclosure_date,possible_leakage_or_post_event,datetime64[ns],99.99920952598794,35,0.0024310409700240678,,leakage_review,<NA>: 13915591; 2024-11-01: 10; 2025-05-01: 8; 2025-09-01: 7; 2025-07-01: 6
disposition_date,possible_leakage_or_post_event,datetime64[ns],99.9993532485356,30,0.0024310409700240678,,leakage_review,<NA>: 13915611; 2024-11-01: 9; 2025-09-01: 7; 2025-07-01: 6; 2025-05-01: 6
source_file,identifier,category,0.0,2,,0.0024310409700240678,identifier_review,2021Q1.csv: 7339519; 2021Q2.csv: 6576182
current_dq_num,numeric,float32,0.0,43,,0.0024310409700240678,numeric_association,0.0: 13793673; 1.0: 73346; 2.0: 15360; 3.0: 7158; 4.0: 5102
