feature,pearson_r,pearson_abs_r,pearson_p_value,n,missing_pct,n_unique
maturity_date,0.024305904639299217,0.024305904639299217,0.0,13610219,0.0,310
origination_date,0.005082135740224175,0.005082135740224175,1.9671020844759156e-78,13610219,0.0,26
first_payment_date,0.004715862956671563,0.004715862956671563,8.562667850355089e-68,13610219,0.0,15
origination_quarter,0.004653343819427828,0.004653343819427828,4.672580585105969e-66,13610219,0.0,10
monthly_reporting_period,0.0034569148055787497,0.0034569148055787497,2.988322009320887e-37,13610219,0.0,59
reporting_quarter,0.0034409656661665996,0.0034409656661665996,6.346830947322836e-37,13610219,0.0,20
