model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
Oversampled LightGBM,0.9828580953493352,0.12088079297452395,0.7530128639133379,0.20832006593118432,0.9488486042149918,0.3397078235554011
Tuned XGBoost,0.9452790917998534,0.043521520962627326,0.8232904536222072,0.08267272208095944,0.9478195871944803,0.33711050293208145
XGBoost,0.9420483819683726,0.04113021746933689,0.822342586323629,0.078342083876211,0.9472480052714064,0.3298541772457558
Neural Network,0.997102256873471,0.5335758254057079,0.2582261340555179,0.3480244547860206,0.9407163169064183,0.3287942440967898
Tuned LightGBM,0.9248582153957964,0.03217323157678815,0.8283006093432633,0.061940540321600714,0.9366162633980649,0.3261867976325803
Oversampled Logistic Regression,0.9849747253531637,0.1324560751369167,0.7237643872714963,0.22393062130797267,0.9423702331786469,0.2235920784694832
Logistic Regression,0.9291697489406711,0.03388659138790115,0.8232904536222072,0.06509392046336593,0.9426582477462019,0.21326787152799376
LightGBM,0.8768785648932236,0.020066044247701576,0.8384563303994583,0.03919409050340859,0.9009557092980565,0.06958061303781704
Dummy Classifier,0.9970049219049102,0.0,0.0,0.0,0.5,0.0029950780950897754
