feature,semantic_type,dtype,missing_pct_actual,n_unique_actual,target_rate_when_missing,target_rate_when_present,analysis_method,top_values
loan_payment_history,categorical,object,1.7312999999999998,32906,,0.013213668678486895,categorical_or_date_association,000000000000000000000000000000000000000000000000: 455991; XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00: 26496; XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000: 26289; XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000: 26101; XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00000000: 25019
modification_flag,categorical,object,1.7295,2,,0.013213668678486895,categorical_or_date_association,N: 974188; <NA>: 17295; Y: 8517
mortgage_insurance_cancellation_indicator,low_cardinality_numeric,float64,100.0,0,0.013213668678486895,,numeric_association,<NA>: 1000000
zero_balance_code,possible_leakage_or_post_event,float64,98.2687,7,0.013213668678486895,,leakage_review,<NA>: 982687; 1.0: 17208; 6.0: 47; 16.0: 32; 2.0: 8
zero_balance_effective_date,possible_leakage_or_post_event,datetime64[ns],98.2687,71,0.013213668678486895,,leakage_review,<NA>: 982687; 2021-03-01: 1081; 2020-12-01: 955; 2021-02-01: 953; 2020-10-01: 890
upb_at_time_of_removal,possible_leakage_or_post_event,float64,98.2687,16841,0.013213668678486895,,leakage_review,<NA>: 982687; 481000.0: 11; 507000.0: 7; 397000.0: 7; 452000.0: 7
repurchase_date,possible_leakage_or_post_event,datetime64[ns],100.0,0,0.013213668678486895,,leakage_review,<NA>: 1000000
scheduled_principal_current,low_cardinality_numeric,float64,100.0,0,0.013213668678486895,,numeric_association,<NA>: 1000000
total_principal_current,numeric,float64,2.6502999999999997,155108,0.037957967022601215,0.012509144975661742,numeric_association,0.0: 71741; <NA>: 26503; 1000.0: 175; 500.0: 97; 600.0: 77
unscheduled_principal_current,low_cardinality_numeric,float64,100.0,0,0.013213668678486895,,numeric_association,<NA>: 1000000
last_paid_installment_date,date_or_time,datetime64[ns],99.9974,22,0.013213668678486895,,categorical_or_date_association,<NA>: 999974; 2023-02-01: 3; 2022-08-01: 2; 2023-12-01: 2; 2022-02-01: 1
foreclosure_date,possible_leakage_or_post_event,datetime64[ns],99.9974,20,0.013213668678486895,,leakage_review,<NA>: 999974; 2025-09-01: 3; 2025-12-01: 2; 2023-05-01: 2; 2024-06-01: 2
disposition_date,possible_leakage_or_post_event,datetime64[ns],99.9978,18,0.013213668678486895,,leakage_review,<NA>: 999978; 2025-09-01: 3; 2023-12-01: 2; 2024-06-01: 2; 2024-08-01: 1
foreclosure_costs,possible_leakage_or_post_event,float64,99.9979,21,0.013213668678486895,,leakage_review,<NA>: 999979; 2481.72: 1; 15798.69: 1; 105.0: 1; 3840.57: 1
property_preservation_and_repair_costs,possible_leakage_or_post_event,float64,99.9979,20,0.013213668678486895,,leakage_review,<NA>: 999979; 30.46: 2; 701.01: 1; 119566.82: 1; 15.04: 1
asset_recovery_costs,possible_leakage_or_post_event,float64,99.9979,6,0.013213668678486895,,leakage_review,<NA>: 999979; 0.0: 15; 750.0: 2; 1500.0: 1; 1000.0: 1
field_057,unmapped,float64,99.9979,19,0.013213668678486895,,exclude_until_mapped,<NA>: 999979; 0.0: 3; 7723.53: 1; 3894.0: 1; -892.92: 1
field_058,unmapped,float64,99.9979,18,0.013213668678486895,,exclude_until_mapped,<NA>: 999979; 0.0: 4; 1691.34: 1; 8690.86: 1; 3016.35: 1
field_059,unmapped,float64,99.9979,21,0.013213668678486895,,exclude_until_mapped,<NA>: 999979; 193185.16: 1; 214054.56: 1; 43250.0: 1; 182205.59: 1
field_060,unmapped,float64,99.9979,6,0.013213668678486895,,exclude_until_mapped,<NA>: 999979; 0.0: 16; 18254.32: 1; 4881.04: 1; 463.85: 1
field_061,unmapped,float64,99.9979,1,0.013213668678486895,,exclude_until_mapped,<NA>: 999979; 0.0: 21
field_062,unmapped,float64,99.9979,9,0.013213668678486895,,exclude_until_mapped,<NA>: 999979; 0.0: 13; 22706.08: 1; 18575.33: 1; 20648.64: 1
field_063,unmapped,float64,99.1482,77,0.012816894585754513,0.061918304033092036,exclude_until_mapped,<NA>: 991482; 0.0: 7188; 8046.77: 56; 410.56: 53; 27383.98: 53
field_064,unmapped,float64,94.6237,1,0.011880149350448977,0.037440435670524165,exclude_until_mapped,<NA>: 946237; 0.0: 53763
field_065,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_066,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_067,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_068,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_069,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_070,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_071,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_072,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_073,unmapped,float64,63.5456,3,0.01117666645343411,0.01678559820984299,exclude_until_mapped,<NA>: 635456; 1.0: 349142; 3.0: 8166; 2.0: 7236
field_074,unmapped,object,1.7312999999999998,2,,0.013213668678486895,exclude_until_mapped,N: 969395; <NA>: 17313; Y: 13292
field_075,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_076,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_077,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_078,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_079,unmapped,object,0.0,3,,0.013213668678486895,exclude_until_mapped,7: 910013; H: 81396; F: 8591
field_080,unmapped,float64,94.6237,1,0.011880149350448977,0.037440435670524165,exclude_until_mapped,<NA>: 946237; 0.0: 53763
field_081,unmapped,object,0.0,2,,0.013213668678486895,exclude_until_mapped,N: 996142; Y: 3858
field_082,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_083,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_084,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_085,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_086,unmapped,object,0.0,3,,0.013213668678486895,exclude_until_mapped,A: 849430; W: 149930; P: 640
field_087,unmapped,object,0.0,2,,0.013213668678486895,exclude_until_mapped,N: 972553; Y: 27447
field_088,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_089,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_090,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_091,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_092,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_093,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_094,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_095,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_096,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_097,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_098,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_099,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_100,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_101,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_102,unmapped,object,0.0,5,,0.013213668678486895,exclude_until_mapped,7: 962371; F: 21148; N: 14278; T: 1853; R: 350
field_103,unmapped,object,0.0,1,,0.013213668678486895,exclude_until_mapped,N: 1000000
field_104,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_105,unmapped,object,98.2687,2,0.013213668678486895,,exclude_until_mapped,<NA>: 982687; N: 17266; Y: 47
field_106,unmapped,object,0.0,4,,0.013213668678486895,exclude_until_mapped,7: 955204; C: 43636; P: 1015; D: 145
field_107,unmapped,float64,95.3651,4,0.012139934363348565,0.035593684402664964,exclude_until_mapped,<NA>: 953651; 1.0: 43337; 2.0: 2689; 3.0: 282; 4.0: 41
field_108,unmapped,float64,95.52040000000001,1536,0.012220820754737604,0.034623361930800414,exclude_until_mapped,<NA>: 955204; 4768.4: 115; 12273.24: 79; 9548.3: 78; 11577.9: 72
field_109,unmapped,int64,0.0,1,,0.013213668678486895,exclude_until_mapped,7: 1000000
field_110,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_111,unmapped,float64,99.0765,206,0.013213668678486895,,exclude_until_mapped,<NA>: 990765; 797.0: 103; 753.0: 98; 769.0: 97; 777.0: 92
field_112,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
field_113,unmapped,float64,100.0,0,0.013213668678486895,,exclude_until_mapped,<NA>: 1000000
source_file,identifier,object,0.0,1,,0.013213668678486895,identifier_review,2020Q1.csv: 1000000
current_dq_num,numeric,float64,9.999999999999999e-05,67,,0.013213668678486895,numeric_association,0.0: 969507; 1.0: 10190; 2.0: 4051; 3.0: 2710; 4.0: 2045
reporting_year,date_or_time,int32,0.0,6,,0.013213668678486895,numeric_association,2020: 300028; 2021: 196771; 2022: 139942; 2023: 128473; 2024: 120903
reporting_month,date_or_time,int32,0.0,12,,0.013213668678486895,numeric_association,1: 90942; 2: 89607; 3: 88223; 4: 86683; 5: 85453
reporting_quarter,date_or_time,object,0.0,24,,0.013213668678486895,categorical_or_date_association,2020Q1: 79478; 2020Q2: 78705; 2020Q3: 74721; 2020Q4: 67124; 2021Q1: 59064
origination_year,date_or_time,int32,0.0,2,,0.013213668678486895,numeric_association,2019: 806433; 2020: 193567
origination_quarter,date_or_time,object,0.0,5,,0.013213668678486895,categorical_or_date_association,2019Q4: 791161; 2020Q1: 193567; 2019Q3: 14096; 2019Q2: 990; 2019Q1: 186
loan_month_key,identifier,object,0.0,1000000,,0.013213668678486895,identifier_review,98836742_2020_01: 1; 98836744_2021_04: 1; 98836744_2021_02: 1; 98836743_2020_08: 1; 98836742_2020_03: 1
is_current,low_cardinality_numeric,Int64,0.0,2,,0.013213668678486895,numeric_association,1: 969507; 0: 30493
is_30plus_dq,low_cardinality_numeric,Int64,0.0,2,,0.013213668678486895,numeric_association,0: 969508; 1: 30492
is_60plus_dq,low_cardinality_numeric,Int64,0.0,2,,0.013213668678486895,numeric_association,0: 979698; 1: 20302
is_90plus_dq,low_cardinality_numeric,Int64,0.0,2,,0.013213668678486895,numeric_association,0: 983749; 1: 16251
prior_dq_num,numeric,float64,2.6502999999999997,67,0.037957967022601215,0.012509144975661742,numeric_association,0.0: 943237; <NA>: 26503; 1.0: 10091; 2.0: 4015; 3.0: 2686
dq_status_change,numeric,float64,2.6504,54,0.037957967022601215,0.012509144975661742,numeric_association,0.0: 942011; <NA>: 26504; 1.0: 24044; -1.0: 4423; -2.0: 730
dq_status_worsened,low_cardinality_numeric,Int64,0.0,2,,0.013213668678486895,numeric_association,0: 975809; 1: 24191
upb_ratio,numeric,float64,0.0,816697,,0.013213668678486895,numeric_association,0.0: 17314; 1.0: 7935; 0.99: 344; 0.9916666666666667: 300; 0.9917355371900827: 230
paydown_pct,numeric,float64,0.0,816697,,0.013213668678486895,numeric_association,1.0: 17314; 0.0: 7935; 0.010000000000000009: 344; 0.008333333333333304: 300; 0.008264462809917328: 230
count_30plus_dq_past_12m,low_cardinality_numeric,int64,0.0,13,,0.013213668678486895,numeric_association,0: 926041; 1: 22596; 2: 9575; 3: 7521; 4: 5581
count_60plus_dq_past_12m,low_cardinality_numeric,int64,0.0,13,,0.013213668678486895,numeric_association,0: 957028; 1: 7686; 2: 6207; 3: 4768; 4: 4516
max_dq_past_12m,numeric,float64,1.7312999999999998,67,,0.013213668678486895,numeric_association,0.0: 908728; 1.0: 30987; <NA>: 17313; 2.0: 8977; 3.0: 6026
future_serious_dq_6m,target,float64,4.2658000000000005,2,,0.013213668678486895,target,0.0: 944692; <NA>: 42658; 1.0: 12650
