feature,semantic_type,pearson_r,pearson_abs_r,pearson_p_value,pearson_n,spearman_rho_sample,spearman_abs_rho_sample,spearman_p_value_sample,missing_pct_actual,n_unique_actual,association_score,cramers_v_sample,top_reliable_category_lift_vs_base_sample,n_unique_sample,chi_square_p_value_sample,association_computed_on_sample,top_reliable_target_rate_category_sample,top_reliable_category_target_rate_sample,eda_recommendation,reason
current_actual_upb,numeric,0.0429159122050426,0.0429159122050426,0.0,957342.0,0.03678742127598583,0.03678742127598583,1.3173783903588155e-75,0.0,806235,0.0429159122050426,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
original_interest_rate,numeric,0.04231182852216103,0.04231182852216103,0.0,957342.0,0.040827813334370675,0.040827813334370675,1.0591459244275158e-92,0.0,415,0.04231182852216103,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
modification_flag,categorical,,,,,,,,0.0,2,0.04034519502787369,0.04034519502787369,4.915183741760971,2.0,1.7044699400712478e-90,True,Y,0.06395637084779375,candidate,Usable for modeling after preprocessing and leakage review.
property_state,categorical,,,,,,,,0.0,54,0.03935388978906026,0.03935388978906026,3.155764058743249,53.0,9.238980229466177e-53,True,VT,0.04106280193236715,candidate,Usable for modeling after preprocessing and leakage review.
current_interest_rate,numeric,0.03741995179981069,0.03741995179981069,1.1071427098946053e-293,957342.0,0.03602434096545326,0.03602434096545326,1.409225483500926e-72,0.0,416,0.03741995179981069,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
original_upb,numeric,0.031845598021553206,0.031845598021553206,3.0011088437190926e-213,957342.0,0.02671116999309832,0.02671116999309832,1.065252304369027e-40,0.0,725,0.031845598021553206,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
original_cltv,numeric,0.02348150183637578,0.02348150183637578,7.67575364442396e-117,957342.0,0.022938897045954698,0.022938897045954698,1.8472713411945717e-30,0.0,75,0.02348150183637578,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
original_ltv,numeric,0.02233244718485724,0.02233244718485724,7.180281516803613e-106,957342.0,0.021546444176052178,0.021546444176052178,4.546438206560568e-27,0.0,68,0.02233244718485724,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
channel,categorical,,,,,,,,0.0,3,0.020906127012202274,0.020906127012202274,1.2640245613225034,3.0,1.8753098527426617e-24,True,B,0.016447487591928413,candidate,Usable for modeling after preprocessing and leakage review.
number_of_borrowers,low_cardinality_numeric,-0.01564525211864072,0.01564525211864072,6.674912325392626e-53,957342.0,-0.020849281585341974,0.020849281585341974,1.8921711526301871e-25,0.0,4,0.020849281585341974,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
occupancy_status,categorical,,,,,,,,0.0,3,0.01139082074171493,0.01139082074171493,1.0336418593187378,3.0,9.041554320356702e-08,True,P,0.013449747873455415,candidate,Usable for modeling after preprocessing and leakage review.
first_time_home_buyer_indicator,categorical,,,,,,,,0.0,2,0.010502963021108114,0.010502963021108114,1.1570410200214958,2.0,1.508806810689608e-07,True,Y,0.015055417752519703,candidate,Usable for modeling after preprocessing and leakage review.
property_type,categorical,,,,,,,,0.0,5,0.010352867798292018,0.010352867798292018,1.1220550026528833,5.0,2.186413081849063e-05,True,PU,0.014600179694519317,candidate,Usable for modeling after preprocessing and leakage review.
original_loan_term,numeric,0.006877936344669112,0.006877936344669112,1.7000287530727062e-11,957342.0,0.0031488317648981972,0.0031488317648981972,0.11539225146962195,0.0,39,0.006877936344669112,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
number_of_units,low_cardinality_numeric,-0.0010455741020733563,0.0010455741020733563,0.3062941560790499,957342.0,-0.0026203170050293763,0.0026203170050293763,0.19014367579094515,0.0,4,0.0026203170050293763,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
loan_purpose,categorical,,,,,,,,0.0,3,0.002504088515762091,0.002504088515762091,1.0395293962097332,3.0,0.4566639892294586,True,C,0.013526356503481048,candidate,Usable for modeling after preprocessing and leakage review.
mortgage_insurance_percentage,low_cardinality_numeric,-0.0019210280632850417,0.0019210280632850417,0.2573327219071685,347679.0,0.0020041493430873894,0.0020041493430873894,0.5461932511523412,63.68288448642178,8,0.0020041493430873894,,,,,,,,candidate,Usable for modeling after preprocessing and leakage review.
