feature,pearson_r,pearson_abs_r,pearson_p_value,n,missing_pct,n_unique
monthly_reporting_period,-0.07557966753558316,0.07557966753558316,0.0,957342,0.0,71
reporting_quarter,-0.07541840396894035,0.07541840396894035,0.0,957342,0.0,24
maturity_date,0.03089552660258486,0.03089552660258486,7.839087284594707e-201,957342,0.0,126
first_payment_date,-0.012169727319654274,0.012169727319654274,1.0784082198407513e-32,957342,0.0,12
origination_date,-0.011652168618300271,0.011652168618300271,4.1190687582298145e-30,957342,0.0,12
origination_quarter,-0.01006281089209448,0.01006281089209448,7.127066105801115e-23,957342,0.0,5
