item,value
source_rows,1000000
labeled_rows,957342
train_rows,815252
test_rows,142090
train_start_month,2020-01-01
train_end_month,2024-08-01
test_start_month,2024-09-01
test_end_month,2025-11-01
target,future_serious_dq_6m
train_target_rate,0.014566048289363288
test_target_rate,0.005454289534801886
numeric_features,33
categorical_features,14
processed_features,172
