model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
LightGBM,0.9739601660919136,0.14953271028037382,0.8051612903225807,0.25222312045270817,0.9557753634353817,0.4008201346338631
Oversampled LightGBM,0.9855866000422268,0.23154787009700548,0.7083870967741935,0.34901462174189446,0.9582708910430027,0.3971202930050821
Tuned LightGBM,0.9784643535787177,0.17310443490701002,0.7806451612903226,0.28337236533957844,0.9534911413874061,0.38809384574663996
Tuned XGBoost,0.964022802449152,0.11407723794269443,0.8270967741935484,0.2005004691898655,0.9562682636480159,0.37719864449713003
XGBoost,0.9621366739390527,0.10914955016126295,0.8296774193548387,0.1929192919291929,0.954349973121133,0.3652935712625355
Neural Network,0.9950102047997748,0.6085526315789473,0.23870967741935484,0.34291010194624655,0.9481771699691721,0.35743335959299183
Oversampled Logistic Regression,0.9871560278696601,0.23538306451612903,0.6025806451612903,0.33852845233780354,0.9532651488952271,0.2527622572502036
Logistic Regression,0.9783447110985994,0.16657010428736965,0.7419354838709677,0.2720605630470783,0.9544932175088142,0.21358713559855744
Dummy Classifier,0.9945457104651981,0.0,0.0,0.0,0.5,0.005454289534801886
